itemNummer,bedingung,anapherArt,indirektenAnapherArt,unterkategorie,spezifikation,kontext,stimulussatz,anker,anapher,erlaeuterung,verstaendnisfrage,erwarteteAntwort,anapherIdx,block,block_bedingung
25,S,IA,Konzeptuell,Schema-basiert,,Restaurant,Gabi/arbeitet/heute/in/der/Küche.//Sie/kann/mit/*dem Ofen*/allerdings/schlecht/umgehen.,die Küche,der Ofen,,Arbeitet Gabi heute in der Küche?,Ja,9,1,1S
20,M,IA,Semantisch,Meronymie-basiert,Objekt/Material,Krimi,Gina/spürt/an/ihrem/Hals/das/Messer.//Sie/empfindet/*das Metall*/als/ungewöhnlich/kalt.,das Messer,das Metall,,,,9,1,1M
35,S,DA,,,,Krimi,Lisa/sucht/in/ihrem/Fall/dringend/Zeugen.//Sie/erhofft/sich/von/*den Zeugen*/weitere/Hinweise.,,die Zeugen,,,,11,1,1S
11,V,IA,Semantisch,Verbsemantisch-basiert,Objekt,Krimi,Luisa/hat/aus/Rache/getötet.//Sie/hat/*die Leiche*/im/Wald/vergraben.,töten,die Leiche,,Hat Luisa die Leiche im Garten vergraben?,Nein,7,1,1V
21,M,IA,Semantisch,Meronymie-basiert,Ereignis/Episoden,Krimi,Walter/verfolgt/aufmerksam/den/Prozess.//Er/ist/auf/*das Urteil*/sehr/gespannt.,der Prozess,das Urteil,,Verfolgt Walter den Prozess?,Ja,8,1,1M
41,I,IA,Konzeptuell,Inferenzbasiert,,Restaurant,Peter/genoss/den/Wein.//Aber/auf/*den Fleck*/auf/seinem/Teppich/hätte/er/gut/verzichten/können.,der Wein,der Fleck,Der Wein wurde verschüttet und hat einen Fleck erzeugt,Mochte Peter den Wein?,Ja,6,1,1I
10,V,IA,Semantisch,Verbsemantisch-basiert,Agens,Krimi,Veronica/wurde/im/Urlaub/die/Handtasche/gestohlen.//Leider/wurde/*der Dieb*/nicht/gefunden.,stehlen,der Dieb,,Wurde der Dieb von Veronicas Handtasche gefunden?,Nein,9,1,1V
37,I,DA,,,,Restaurant,Rolf/sucht/in/seinem/Essen/nach/Gräten.//Er/entfernt/*die Gräten*/überaus/sorgsam.,,die Gräten,,,,9,1,1I
48,I,IA,Konzeptuell,Inferenzbasiert,,Krimi,Alfred/beobachtete/den/Täter.//Er/war/von/*der Maske*/überaus/beunruhigt.,der Täter,die Maske,"Der Täter trug eine Maske, um unerkannt zu bleiben",,,7,1,1I
1,V,IA,Semantisch,Verbsemantisch-basiert,Instrument,Restaurant,Klara/hat/Gemüse/geschnitten.//Leider/war/*das Messer*/nicht/scharf/genug.,schneiden,das Messer,,,,6,1,1V
13,M,IA,Semantisch,Meronymie-basiert,Objekt/Material,Restaurant,Melissa/backt/für/ihre/Party/selbst/den/Kuchen.//Sie/färbt/*die Glasur*/ausnahmsweise/pink.,der Kuchen,die Glasur,,,,10,1,1M
31,S,DA,,,,Krimi,Sandra/untersucht/jeden/Tag/Tote.//Sie/hat/sich/an/*die Toten*/bereits/gewöhnt.,,die Toten,,,,9,1,1S
19,M,IA,Semantisch,Meronymie-basiert,Objekt/Bestandteil,Krimi,Georg/blickt/von/seinem/Fenster/aus/auf/das/Gefängnis.//Aber/er/kann/sich/*die Zellen*/schlecht/vorstellen.,das Gefängnis,die Zellen,,Sieht Georg von seinem Fenster aus einen Kindergarten?,Nein,13,2,2M
39,I,IA,Konzeptuell,Inferenzbasiert,,Restaurant,Anna/war/sehr/traurig/über/den/besetzten/Tisch.//Man/hatte/*ihre Reservierung*/leider/vergessen.,der Tisch,die Reservierung,Es wurde vor dem Restaurantbesuch ein Tisch reserviert,,,10,2,2I
27,S,IA,Konzeptuell,Schema-basiert,,Restaurant,Paula/besorgt/für/die/Feier/den/Kuchen.//Sie/kann/*dem Duft*/kaum/widerstehen.,der Kuchen,der Duft,,Besorgt Paula für die Feier die Chips?,Nein,9,2,2S
17,M,IA,Semantisch,Meronymie-basiert,Ereignis/Episoden,Restaurant,Thomas/benötigt/für/seine/Menüs/immer/viel/Zeit/für/die/Zubereitung.//Er/findet/*das Schneiden*/allerdings/sehr/entspannend.,die Zubereitung,das Schneiden,,Benötigt Thomas für die Zubereitung seiner Menüs viel Zeit?,Ja,13,2,2M
28,S,DA,,,,Restaurant,Raya/backt/jeden/Tag/einen/Kuchen.//Sie/schenkt/*den Kuchen*/regelmässig/ihren/Nachbarn.,,der Kuchen,,,,8,2,2S
7,V,DA,,,,Krimi,Judith/findet/im/Keller/ihres/Hauses/ein/Gewehr.//Ihr/Mann/hat/*das Gewehr*/dort/gelagert.,,das Gewehr,,Findet Judith auf dem Dachboden ein Gewehr?,Nein,11,2,2V
8,V,IA,Semantisch,Verbsemantisch-basiert,Agens,Krimi,Anja/wurde/in/allen/Punkten/freigesprochen.//Sie/war/*dem Richter*/sehr/dankbar.,freisprechen,der Richter,,,,8,2,2V
18,M,IA,Semantisch,Meronymie-basiert,Objekt/Bestandteil // Ereignis/ Episode,Restaurant,Emily/ist/in/der/Vorbereitung/für/das/Menü.//Sie/steckt/in/*den Hauptgang*/immer/sehr/viel/Arbeit.,das Menü,der Hauptgang,,,,11,2,2M
46,I,IA,Konzeptuell,Inferenzbasiert,,Krimi,Werner/beunruhigte/das/Verschwinden/seiner/Schwester.//Er/musste/*das Lösegeld*/wenige/Tage/später/zahlen.,das Verschwinden,das Lösegeld,"Das Verschwinden ist auf eine Entführung zurückzuführen, weshalb Lösegeld gefordert wird",,,8,2,2I
26,S,IA,Konzeptuell,Schema-basiert,,Restaurant,Ulrike/fragt/nach/dem/Koch.//Er/kommt/mit/*der Schürze*/wenig/später/hinaus.,der Koch,die Schürze,,,,8,2,2S
43,I,IA,Konzeptuell,Inferenzbasiert,,Krimi,Denise/fand/den/Toten.//Bis/jetzt/gibt/es/auf/*den Mörder*/keine/Hinweise.,der Tote,der Mörder,Der Tote ist nicht natürlich verstorben,,,9,2,2I
9,V,DA,,,,Krimi,Nina/verteidigt/als/Anwältin/einen/Mörder.//Sie/hat/*den Mörder*/bis/jetzt/nur/einmal/getroffen.,,der Mörder,,,,8,2,2V
44,I,DA,,,,Krimi,Luca/beauftraft/wegen/seines/Unfalls/einen/Gutachter.//Er/vertraut/*dem Gutachter*/wirklich/sehr.,,der Gutachter,,,,9,3,3I
20,M,DA,,,,Krimi,Hans/arbeitet/täglich/mit/Metall.//Zur/Herstellung/von/Werkzeugen/wählt/er/*das Metall*/entsprechend/aus.,,das Metall,,,,11,3,3M
2,V,DA,,,,Restaurant,Frida/isst/heute/Abend/Nudeln.//Sie/bestreut/*die Nudeln*/mit/viel/Parmesan.,,die Nudeln,,,,7,3,3V
34,S,IA,Konzeptuell,Schema-basiert,,Krimi,Franzi/ist/gerade/mitten/im/Verhör.//Aber/sie/bekommt/aus/*dem Verdächtigen*/nichts/heraus.,das Verhör,der Verdächtige,,,,10,3,3S
22,M,IA,Semantisch,Meronymie-basiert,Objekt/Bestandteil,Krimi,Victoria/fährt/das/Fluchtfahrzeug.//Wegen/der/hohen/Geschwindigkeit/quietschen/*die Reifen*/verdächtig/laut.,das Fluchtfahrzeug,die Reifen,,,,9,3,3M
